dataset,model,probability_calibration,method,n_seeds,marginal_coverage_mean,marginal_coverage_ci_lo,marginal_coverage_ci_hi,coverage_class_0_mean,coverage_class_0_ci_lo,coverage_class_0_ci_hi,coverage_class_1_mean,coverage_class_1_ci_lo,coverage_class_1_ci_hi,average_set_size_mean,average_set_size_ci_lo,average_set_size_ci_hi,abstention_rate_mean,abstention_rate_ci_lo,abstention_rate_ci_hi,mean_cost_mean,mean_cost_ci_lo,mean_cost_ci_hi
adult,ada,isotonic,aps_cp,10,0.902507933258266,0.9000362966407951,0.9049795698757368,0.9361862468039297,0.9340234154218815,0.9383490781859779,0.7954662104362702,0.7862127002005024,0.804719720672038,1.2390111577438838,1.233607459627986,1.2444148558597816,0.3194492783294093,0.31568289432901353,0.32321566232980503,0.45756986385505166,0.4365287810981588,0.47861094661194453
adult,ada,isotonic,capacity_limited_mondrian,10,0.8869178012079025,0.8841717111227172,0.8896638912930879,0.9235230789934061,0.9163791225126368,0.9306670354741755,0.7705731394354149,0.7574458296710969,0.783700449199733,1.0999078718394926,1.0999078718394923,1.0999078718394928,0.09990787183949226,0.09990787183949225,0.09990787183949228,0.6072576517555532,0.580838299012797,0.6336770044983094
adult,ada,isotonic,class_conditional_rejector,10,0.9329818814617669,0.9282140647072528,0.937749698216281,0.9965953438299018,0.9938183945200724,0.9993722931397312,0.7307955517536355,0.7170390994812076,0.7445520040260635,1.2160302999283448,1.2014165839510667,1.230644015905623,0.21603029992834477,0.2014165839510666,0.23064401590562295,0.6468727607738766,0.6127743632119328,0.6809711583358203
adult,ada,isotonic,class_weighted_threshold,10,0.6957006858429726,0.6752828835010084,0.7161184881849368,0.615314224195936,0.5853870809362912,0.6452413674555807,0.9511976047904191,0.9410485049744358,0.9613467046064025,1.0,1.0,1.0,0.0,0.0,0.0,0.4094175452963456,0.4034374056857034,0.4153976849069878
adult,ada,isotonic,confidence_rejector,10,0.9998259801412631,0.9997524140990206,0.9998995461835056,0.9999327143049388,0.9998737357928152,0.9999916928170623,0.9994867408041062,0.9992431296855051,0.9997303519227072,1.910666393694339,1.8796822974532492,1.941650489935429,0.9106663936943391,0.8796822974532492,0.941650489935429,0.001279557784829563,0.000694803447366675,0.0018643121222924513
adult,ada,isotonic,cost_controlled_mondrian,10,0.9972873374961614,0.9965032634486936,0.9980714115436292,0.9980218005651998,0.9968727366096694,0.9991708645207303,0.9949529512403764,0.9931299325575484,0.9967759699232044,1.719623298188146,1.6769142781975876,1.7623323181787045,0.7196232981881463,0.6769142781975879,0.7623323181787047,0.013583785443750638,0.009533587198849109,0.01763398368865217
adult,ada,isotonic,cost_tuned_threshold,10,0.6957109223052513,0.6752988568201467,0.716122987790356,0.6153949670300094,0.5854710319207821,0.6453189021392367,0.95098374679213,0.9408202309342486,0.9611472626500115,1.0,1.0,1.0,0.0,0.0,0.0,0.40986794963660567,0.40387385506794654,0.4158620442052648
adult,ada,isotonic,marginal_cp,10,0.9082915344456955,0.9040216389711934,0.9125614299201977,0.9621450679585519,0.9563324936319662,0.9679576422851377,0.7371257485029941,0.725463173772685,0.7487883232333031,1.1338929266045654,1.1231640257753834,1.1446218274337474,0.13389292660456545,0.12316402577538342,0.1446218274337475,0.657928140034804,0.6313284925566192,0.6845277875129889
adult,ada,isotonic,mondrian_cp,10,0.9248950762616438,0.9196460050371587,0.930144147486129,0.9235230789934061,0.9163791225126368,0.9306670354741755,0.9292557741659537,0.9182093992711233,0.9403021490607841,1.2681134200020474,1.2497301117562467,1.286496728247848,0.2681134200020473,0.2497301117562466,0.286496728247848,0.22748490121813902,0.20221077233914697,0.2527590300971311
adult,ada,isotonic,raps_cp,10,0.9017299621250896,0.8997410798653858,0.9037188443847934,0.9545014129995962,0.9519127855509746,0.9570900404482179,0.7340034217279726,0.7229653560880093,0.745041487367936,1.175217524823421,1.1695585010100498,1.180876548636792,0.20969392977786877,0.2055408784585912,0.21384698109714634,0.635090592691166,0.6096730713122311,0.6605081140701008
