dataset,model,probability_calibration,marginal_minority_coverage,mondrian_minority_coverage,coverage_gain,mondrian_abstention,mondrian_cost,break_even_defer_cost,failure_mode
miniboone,gnb,isotonic,0.9993424657534247,0.9993424657534247,0.0,0.9945104370891477,0.0018452312305385766,0.7180075917464883,high_abstention
miniboone,gnb,sigmoid,0.9993424657534247,0.9993424657534247,0.0,0.9945104370891477,0.0018452312305385766,0.7193025179550216,high_abstention
miniboone,gnb,none,1.0,0.9993150684931507,-0.00068493150684934,0.9944796832353054,0.001922115865144351,0.7180066023951077,high_abstention
fraud,gb,none,0.407070707070707,1.0,0.592929292929293,0.9881482391769951,0.01094764931006636,0.0,high_abstention
fraud,hgb,isotonic,0.0,1.0,1.0,0.9778677012745339,0.02083494259330782,0.0,high_abstention
fraud,gb,isotonic,0.06060606060606061,1.0,0.9393939393939394,0.9700203644534954,0.028942101752045223,0.0,high_abstention
fraud,gb,sigmoid,0.0,0.9757575757575758,0.9757575757575758,0.9612636494505107,0.03795863909272849,0.0,high_abstention
diabetes130us,gnb,none,0.999955985915493,0.9766725352112676,-0.023283450704225328,0.9399086174707673,0.04438439618748158,0.897788394691311,high_abstention
diabetes130us,gnb,isotonic,0.6424295774647887,0.968661971830986,0.32623239436619733,0.909388817922767,0.06501424781369755,0.876097397580728,high_abstention
diabetes130us,gnb,sigmoid,0.6430897887323943,0.9586267605633803,0.31553697183098595,0.9032376928367887,0.07946349611869905,0.8955913949250728,high_abstention
pc1,gnb,isotonic,0.0125,0.98125,0.96875,0.8720720720720723,0.05990990990990991,0.5888429752066116,high_abstention
fraud,hgb,none,0.686868686868687,0.9808080808080808,0.29393939393939383,0.8705382535725572,0.08233032548014467,0.0,high_abstention
oil_spill,gnb,isotonic,0.0875,0.9625,0.875,0.8643617021276595,0.0925531914893617,0.2763076923076923,high_abstention
seismic_bumps,hgb,isotonic,0.01764705882352941,0.9735294117647058,0.9558823529411763,0.8547388781431333,0.06479690522243714,0.5148223579995475,high_abstention
fraud,hgb,sigmoid,0.0,0.9787878787878789,0.9787878787878789,0.8409729293213019,0.07229205435202415,0.0,high_abstention
seismic_bumps,gnb,isotonic,0.0029411764705882353,0.9794117647058824,0.9764705882352942,0.825918762088975,0.07040618955512572,0.4494145199063232,high_abstention
ozone_level_8hr,gnb,isotonic,0.0,0.98125,0.98125,0.8246548323471401,0.033136094674556214,0.4613728773020809,high_abstention
seismic_bumps,logreg,isotonic,0.0058823529411764705,0.9823529411764707,0.9764705882352942,0.8232108317214701,0.07292069632495166,0.43773496240601506,high_abstention
pc1,logreg,isotonic,0.03125,0.99375,0.9625,0.8184684684684687,0.03468468468468468,0.5553109521188773,high_abstention
