dataset,seed,model,probability_calibration,method,fn_cost,fp_cost,defer_cost,threshold,marginal_coverage,coverage_class_0,coverage_class_1,average_set_size,abstention_rate,mean_cost,mean_cost_automated_only
uci_default,7,hgb,none,mondrian_cp,5.0,1.0,0.0,,0.9033333333333333,0.9019901562165632,0.9080633006782216,1.5165,0.5165,0.178,0.36814891416752843
uci_default,7,hgb,none,cost_tuned_threshold,5.0,1.0,0.0,0.186,0.7125,0.7153862615022469,0.7023360964581763,1.0,0.0,0.5508333333333333,0.5508333333333333
uci_default,7,hgb,none,mondrian_cp,5.0,1.0,0.25,,0.9033333333333333,0.9019901562165632,0.9080633006782216,1.5165,0.5165,0.307125,0.36814891416752843
uci_default,7,hgb,none,cost_tuned_threshold,5.0,1.0,0.25,0.186,0.7125,0.7153862615022469,0.7023360964581763,1.0,0.0,0.5508333333333333,0.5508333333333333
uci_default,7,hgb,none,mondrian_cp,5.0,1.0,0.5,,0.9033333333333333,0.9019901562165632,0.9080633006782216,1.5165,0.5165,0.43625,0.36814891416752843
uci_default,7,hgb,none,cost_tuned_threshold,5.0,1.0,0.5,0.186,0.7125,0.7153862615022469,0.7023360964581763,1.0,0.0,0.5508333333333333,0.5508333333333333
uci_default,7,hgb,none,mondrian_cp,5.0,1.0,1.0,,0.9033333333333333,0.9019901562165632,0.9080633006782216,1.5165,0.5165,0.6945,0.36814891416752843
uci_default,7,hgb,none,cost_tuned_threshold,5.0,1.0,1.0,0.186,0.7125,0.7153862615022469,0.7023360964581763,1.0,0.0,0.5508333333333333,0.5508333333333333
uci_default,7,hgb,none,mondrian_cp,10.0,1.0,0.0,,0.9033333333333333,0.9019901562165632,0.9080633006782216,1.5165,0.5165,0.2796666666666667,0.5784212340572217
uci_default,7,hgb,none,cost_tuned_threshold,10.0,1.0,0.0,0.068,0.3465,0.1692702760539268,0.9706103993971364,1.0,0.0,0.712,0.712
uci_default,7,hgb,none,mondrian_cp,10.0,1.0,0.25,,0.9033333333333333,0.9019901562165632,0.9080633006782216,1.5165,0.5165,0.40879166666666666,0.5784212340572217
uci_default,7,hgb,none,cost_tuned_threshold,10.0,1.0,0.25,0.068,0.3465,0.1692702760539268,0.9706103993971364,1.0,0.0,0.712,0.712
uci_default,7,hgb,none,mondrian_cp,10.0,1.0,0.5,,0.9033333333333333,0.9019901562165632,0.9080633006782216,1.5165,0.5165,0.5379166666666667,0.5784212340572217
uci_default,7,hgb,none,cost_tuned_threshold,10.0,1.0,0.5,0.068,0.3465,0.1692702760539268,0.9706103993971364,1.0,0.0,0.712,0.712
uci_default,7,hgb,none,mondrian_cp,10.0,1.0,1.0,,0.9033333333333333,0.9019901562165632,0.9080633006782216,1.5165,0.5165,0.7961666666666667,0.5784212340572217
uci_default,7,hgb,none,cost_tuned_threshold,10.0,1.0,1.0,0.068,0.3465,0.1692702760539268,0.9706103993971364,1.0,0.0,0.712,0.712
uci_default,7,hgb,none,mondrian_cp,20.0,1.0,0.0,,0.9033333333333333,0.9019901562165632,0.9080633006782216,1.5165,0.5165,0.483,0.9989658738366081
uci_default,7,hgb,none,cost_tuned_threshold,20.0,1.0,0.0,0.048,0.2733333333333333,0.06976246522576503,0.9902034664657121,1.0,0.0,0.7678333333333334,0.7678333333333334
uci_default,7,hgb,none,mondrian_cp,20.0,1.0,0.25,,0.9033333333333333,0.9019901562165632,0.9080633006782216,1.5165,0.5165,0.612125,0.9989658738366081
uci_default,7,hgb,none,cost_tuned_threshold,20.0,1.0,0.25,0.048,0.2733333333333333,0.06976246522576503,0.9902034664657121,1.0,0.0,0.7678333333333334,0.7678333333333334
uci_default,7,hgb,none,mondrian_cp,20.0,1.0,0.5,,0.9033333333333333,0.9019901562165632,0.9080633006782216,1.5165,0.5165,0.74125,0.9989658738366081
uci_default,7,hgb,none,cost_tuned_threshold,20.0,1.0,0.5,0.048,0.2733333333333333,0.06976246522576503,0.9902034664657121,1.0,0.0,0.7678333333333334,0.7678333333333334
uci_default,7,hgb,none,mondrian_cp,20.0,1.0,1.0,,0.9033333333333333,0.9019901562165632,0.9080633006782216,1.5165,0.5165,0.9995,0.9989658738366081
uci_default,7,hgb,none,cost_tuned_threshold,20.0,1.0,1.0,0.048,0.2733333333333333,0.06976246522576503,0.9902034664657121,1.0,0.0,0.7678333333333334,0.7678333333333334
uci_default,7,hgb,sigmoid,mondrian_cp,5.0,1.0,0.0,,0.9016666666666666,0.9002781938797346,0.9065561416729465,1.504,0.504,0.181,0.3649193548387097
uci_default,7,hgb,sigmoid,cost_tuned_threshold,5.0,1.0,0.0,0.18,0.7396666666666667,0.7628932163492403,0.6578749058025621,1.0,0.0,0.563,0.563
uci_default,7,hgb,sigmoid,mondrian_cp,5.0,1.0,0.25,,0.9016666666666666,0.9002781938797346,0.9065561416729465,1.504,0.504,0.307,0.3649193548387097
uci_default,7,hgb,sigmoid,cost_tuned_threshold,5.0,1.0,0.25,0.18,0.7396666666666667,0.7628932163492403,0.6578749058025621,1.0,0.0,0.563,0.563
uci_default,7,hgb,sigmoid,mondrian_cp,5.0,1.0,0.5,,0.9016666666666666,0.9002781938797346,0.9065561416729465,1.504,0.504,0.433,0.3649193548387097
uci_default,7,hgb,sigmoid,cost_tuned_threshold,5.0,1.0,0.5,0.18,0.7396666666666667,0.7628932163492403,0.6578749058025621,1.0,0.0,0.563,0.563
uci_default,7,hgb,sigmoid,mondrian_cp,5.0,1.0,1.0,,0.9016666666666666,0.9002781938797346,0.9065561416729465,1.504,0.504,0.685,0.3649193548387097
uci_default,7,hgb,sigmoid,cost_tuned_threshold,5.0,1.0,1.0,0.18,0.7396666666666667,0.7628932163492403,0.6578749058025621,1.0,0.0,0.563,0.563
uci_default,7,hgb,sigmoid,mondrian_cp,10.0,1.0,0.0,,0.9016666666666666,0.9002781938797346,0.9065561416729465,1.504,0.504,0.2843333333333333,0.573252688172043
uci_default,7,hgb,sigmoid,cost_tuned_threshold,10.0,1.0,0.0,0.096,0.356,0.18446394179328054,0.960060286360211,1.0,0.0,0.7235,0.7235
uci_default,7,hgb,sigmoid,mondrian_cp,10.0,1.0,0.25,,0.9016666666666666,0.9002781938797346,0.9065561416729465,1.504,0.504,0.4103333333333333,0.573252688172043
uci_default,7,hgb,sigmoid,cost_tuned_threshold,10.0,1.0,0.25,0.096,0.356,0.18446394179328054,0.960060286360211,1.0,0.0,0.7235,0.7235
