dataset,model,probability_calibration,method,n_seeds,marginal_coverage_mean,marginal_coverage_ci_lo,marginal_coverage_ci_hi,coverage_class_0_mean,coverage_class_0_ci_lo,coverage_class_0_ci_hi,coverage_class_1_mean,coverage_class_1_ci_lo,coverage_class_1_ci_hi,average_set_size_mean,average_set_size_ci_lo,average_set_size_ci_hi,abstention_rate_mean,abstention_rate_ci_lo,abstention_rate_ci_hi,mean_cost_mean,mean_cost_ci_lo,mean_cost_ci_hi,break_even_defer_cost,case_note
credit_g,ada,isotonic,aps_cp,10,0.9195,0.9124255734429488,0.9265744265570511,0.9664285714285714,0.9566285714285714,0.9762285714285714,0.8099999999999999,0.7910145734903561,0.8289854265096438,1.5765,1.538487171171359,1.614512828828641,0.5915000000000001,0.5531517820202527,0.6298482179797475,0.577,0.5233987877417352,0.6306012122582647,0.7294964028776978,German credit; class 1 follows configured positive mapping.
credit_g,ada,isotonic,capacity_limited_mondrian,10,0.7725000000000001,0.7588540889315192,0.786145911068481,0.9128571428571428,0.888447308773315,0.9372669769409706,0.445,0.3824386187832055,0.5075613812167945,1.1,1.1,1.1,0.1,0.1,0.1,1.7259999999999998,1.5501100955458529,1.9018899044541466,0.7294964028776978,German credit; class 1 follows configured positive mapping.
credit_g,ada,isotonic,class_conditional_rejector,10,0.975,0.962348254402389,0.9876517455976109,0.9978571428571428,0.9936571428571428,1.0020571428571428,0.9216666666666666,0.8817919183219365,0.9615414150113968,1.7544999999999997,1.6604965936787393,1.8485034063212602,0.7545,0.6604965936787395,0.8485034063212604,0.23650000000000002,0.11649234079998616,0.35650765920001387,0.7294964028776978,German credit; class 1 follows configured positive mapping.
credit_g,ada,isotonic,class_weighted_threshold,10,0.42000000000000004,0.3488046505888357,0.4911953494111644,0.19,0.0748325663315459,0.3051674336684541,0.9566666666666667,0.9232110096315056,0.9901223237018277,1.0,1.0,1.0,0.0,0.0,0.0,0.6970000000000001,0.6614788488675019,0.7325211511324983,0.7294964028776978,German credit; class 1 follows configured positive mapping.
credit_g,ada,isotonic,confidence_rejector,10,0.993,0.9874949154815248,0.9985050845184752,0.9971428571428571,0.9928657864942316,1.0014199277914826,0.9833333333333332,0.9724444444444442,0.9942222222222221,1.8834999999999997,1.84540304707431,1.9215969529256895,0.8835,0.8454030470743101,0.9215969529256898,0.05200000000000001,0.017608344681368494,0.08639165531863152,0.7294964028776978,German credit; class 1 follows configured positive mapping.
credit_g,ada,isotonic,cost_controlled_mondrian,10,0.999,0.99704,1.00096,1.0,1.0,1.0,0.9966666666666667,0.9901333333333334,1.0032,1.9630000000000003,1.9279628108687041,1.9980371891312965,0.9630000000000001,0.9279628108687039,0.9980371891312962,0.01,-0.009599999999999996,0.029599999999999994,0.7294964028776978,German credit; class 1 follows configured positive mapping.
credit_g,ada,isotonic,cost_tuned_threshold,10,0.422,0.3489229800522459,0.49507701994775405,0.19285714285714287,0.07505731263655215,0.3106569730777336,0.9566666666666667,0.9232110096315056,0.9901223237018277,1.0,1.0,1.0,0.0,0.0,0.0,0.6950000000000001,0.6593349408461946,0.7306650591538055,0.7294964028776978,German credit; class 1 follows configured positive mapping.
credit_g,ada,isotonic,marginal_cp,10,0.9295,0.9121251407679564,0.9468748592320436,0.9721428571428572,0.9573193023135398,0.9869664119721746,0.8299999999999998,0.785422000665223,0.8745779993347766,1.5440000000000003,1.4669205097174212,1.6210794902825794,0.544,0.46692050971742083,0.6210794902825792,0.5295000000000001,0.39479247336049367,0.6642075266395064,0.7294964028776978,German credit; class 1 follows configured positive mapping.
credit_g,ada,isotonic,mondrian_cp,10,0.9425000000000002,0.9154733917119527,0.9695266082880477,0.9385714285714286,0.9095629240713112,0.967579933071546,0.9516666666666668,0.9203149856713108,0.9830183476620228,1.6950000000000003,1.5986139567502988,1.7913860432497017,0.695,0.5986139567502984,0.7913860432497015,0.188,0.08050532126865279,0.2954946787313472,0.7294964028776978,German credit; class 1 follows configured positive mapping.
credit_g,ada,isotonic,raps_cp,10,0.9225,0.9147352219749836,0.9302647780250164,0.975,0.9665870470239173,0.9834129529760827,0.8,0.7805213633960019,0.8194786366039982,1.5695,1.5316165242706885,1.6073834757293113,0.5695,0.5316165242706885,0.6073834757293115,0.6174999999999999,0.5594994157117552,0.6755005842882447,0.7294964028776978,German credit; class 1 follows configured positive mapping.
credit_g,ada,isotonic,risk_controlled_rejector,10,0.9265000000000001,0.9071162484997817,0.9458837515002185,0.9721428571428572,0.9573193023135398,0.9869664119721746,0.82,0.7751568109414788,0.8648431890585211,1.5115,1.4334129998015035,1.5895870001984966,0.5115000000000001,0.4334129998015035,0.5895870001984966,0.5595,0.4213817947473172,0.6976182052526828,0.7294964028776978,German credit; class 1 follows configured positive mapping.
credit_g,ada,none,aps_cp,10,0.9095000000000001,0.896560535817379,0.9224394641826211,0.9585714285714285,0.9457402166255522,0.9714026405173048,0.7949999999999999,0.7683055607584696,0.8216944392415303,1.6145,1.568084586372389,1.6609154136276112,0.6144999999999999,0.5680845863723889,0.660915413627611,0.644,0.5620229365411682,0.7259770634588318,0.6106442577030813,German credit; class 1 follows configured positive mapping.
credit_g,ada,none,capacity_limited_mondrian,10,0.782,0.7668742397803542,0.7971257602196459,0.8821428571428571,0.865544999181997,0.8987407151037172,0.5483333333333333,0.5124,0.5842666666666667,1.1,1.1,1.1,0.1,0.1,0.1,1.4375,1.3301140781004221,1.5448859218995779,0.6106442577030813,German credit; class 1 follows configured positive mapping.
credit_g,ada,none,class_conditional_rejector,10,0.9680000000000002,0.9563860926280412,0.9796139073719592,0.9985714285714286,0.9967047619047619,1.0004380952380951,0.8966666666666667,0.8606180301108847,0.9327153032224488,1.714,1.646992711507545,1.781007288492455,0.7140000000000001,0.6469927115075449,0.7810072884924553,0.31100000000000005,0.20209891623843024,0.41990108376156987,0.6106442577030813,German credit; class 1 follows configured positive mapping.
credit_g,ada,none,class_weighted_threshold,10,0.446,0.3974638846951171,0.4945361153048829,0.23285714285714287,0.15417985543850116,0.3115344302757846,0.9433333333333334,0.9132358456403032,0.9734308210263635,1.0,1.0,1.0,0.0,0.0,0.0,0.7070000000000001,0.6470284126532498,0.7669715873467503,0.6106442577030813,German credit; class 1 follows configured positive mapping.
credit_g,ada,none,confidence_rejector,10,0.9959999999999999,0.9927993334027632,0.9992006665972366,1.0,1.0,1.0,0.9866666666666666,0.975997778009211,0.9973355553241222,1.943,1.9108868223656117,1.9751131776343884,0.9429999999999998,0.9108868223656116,0.9751131776343881,0.04,0.007993334027633144,0.07200666597236685,0.6106442577030813,German credit; class 1 follows configured positive mapping.
credit_g,ada,none,cost_controlled_mondrian,10,0.994,0.9901904447620344,0.9978095552379656,0.9971428571428571,0.9948566667162595,0.9994290475694547,0.9866666666666666,0.975997778009211,0.9973355553241222,1.9260000000000002,1.8878260961737823,1.964173903826218,0.9259999999999999,0.887826096173782,0.9641739038262178,0.042,0.009688059310664882,0.07431194068933512,0.6106442577030813,German credit; class 1 follows configured positive mapping.
credit_g,ada,none,cost_tuned_threshold,10,0.45,0.4018568246442621,0.49814317535573793,0.23928571428571427,0.16265427310275216,0.3159171554686764,0.9416666666666667,0.9176863764059618,0.9656469569273715,1.0,1.0,1.0,0.0,0.0,0.0,0.7075000000000001,0.6634726524381342,0.751527347561866,0.6106442577030813,German credit; class 1 follows configured positive mapping.
credit_g,ada,none,marginal_cp,10,0.908,0.8959354255957553,0.9200645744042447,0.9778571428571429,0.967328662962643,0.9883856227516428,0.7449999999999999,0.7187534858281552,0.7712465141718445,1.4149999999999998,1.3741993464104636,1.455800653589536,0.41500000000000004,0.3741993464104638,0.45580065358953625,0.7805000000000001,0.6995888143977883,0.8614111856022119,0.6106442577030813,German credit; class 1 follows configured positive mapping.
credit_g,ada,none,mondrian_cp,10,0.8939999999999999,0.8794789409630166,0.9085210590369832,0.8921428571428571,0.870011833166949,0.9142738811187653,0.8983333333333334,0.8647891925228126,0.9318774741438542,1.5355000000000003,1.4849890511319028,1.5860109488680978,0.5355,0.4849890511319025,0.5860109488680975,0.38050000000000006,0.28530090359905963,0.4756990964009405,0.6106442577030813,German credit; class 1 follows configured positive mapping.
credit_g,ada,none,raps_cp,10,0.9095000000000001,0.896560535817379,0.9224394641826211,0.9585714285714285,0.9457402166255522,0.9714026405173048,0.7949999999999999,0.7683055607584696,0.8216944392415303,1.6145,1.568084586372389,1.6609154136276112,0.6144999999999999,0.5680845863723889,0.660915413627611,0.644,0.5620229365411682,0.7259770634588318,0.6106442577030813,German credit; class 1 follows configured positive mapping.
credit_g,ada,none,risk_controlled_rejector,10,0.906,0.8931973336110532,0.9188026663889468,0.9771428571428572,0.9659428571428572,0.9883428571428572,0.74,0.7136858109908385,0.7663141890091615,1.4045,1.364266918531581,1.4447330814684192,0.40449999999999997,0.36426691853158094,0.444733081468419,0.796,0.7141792919447243,0.8778207080552758,0.6106442577030813,German credit; class 1 follows configured positive mapping.
credit_g,ada,sigmoid,aps_cp,10,0.9205,0.9050082832168643,0.9359917167831356,1.0,1.0,1.0,0.7349999999999999,0.6833609440562142,0.7866390559437856,1.7040000000000002,1.6658260961737823,1.742173903826218,0.704,0.6658260961737821,0.7421739038262178,0.7950000000000002,0.6400828321686429,0.9499171678313574,0.5977337110481586,German credit; class 1 follows configured positive mapping.
credit_g,ada,sigmoid,capacity_limited_mondrian,10,0.7795,0.7648581892437368,0.7941418107562631,0.8935714285714285,0.873613584109775,0.913529273033082,0.5133333333333334,0.469022110776915,0.5576445558897518,1.1,1.1,1.1,0.1,0.1,0.1,1.5345,1.4068619233056914,1.6621380766943086,0.5977337110481586,German credit; class 1 follows configured positive mapping.
credit_g,ada,sigmoid,class_conditional_rejector,10,0.9744999999999999,0.9631415787482003,0.9858584212517996,1.0,1.0,1.0,0.915,0.8771385958273347,0.9528614041726654,1.7485000000000004,1.6645136251791073,1.8324863748208935,0.7485,0.664513625179107,0.8324863748208932,0.255,0.14141578748200379,0.3685842125179962,0.5977337110481586,German credit; class 1 follows configured positive mapping.
credit_g,ada,sigmoid,class_weighted_threshold,10,0.4175,0.37299054282764416,0.4620094571723558,0.18285714285714286,0.11322522169705677,0.2524890640172289,0.9649999999999999,0.9478176231541129,0.9821823768458868,1.0,1.0,1.0,0.0,0.0,0.0,0.677,0.6483649135189402,0.7056350864810599,0.5977337110481586,German credit; class 1 follows configured positive mapping.
credit_g,ada,sigmoid,confidence_rejector,10,0.9970000000000001,0.9943866666666668,0.9996133333333335,1.0,1.0,1.0,0.99,0.9812888888888889,0.9987111111111111,1.9329999999999998,1.8957771969531219,1.9702228030468778,0.933,0.8957771969531221,0.970222803046878,0.03,0.0038666666666666606,0.05613333333333334,0.5977337110481586,German credit; class 1 follows configured positive mapping.
credit_g,ada,sigmoid,cost_controlled_mondrian,10,0.9914999999999999,0.9866437508758759,0.996356249124124,0.9935714285714287,0.987504761904762,0.9996380952380953,0.9866666666666667,0.9749389744200182,0.9983943589133152,1.9024999999999999,1.8599016145324208,1.945098385467579,0.9025000000000001,0.8599016145324211,0.9450983854675791,0.0445,0.010038601950072376,0.07896139804992762,0.5977337110481586,German credit; class 1 follows configured positive mapping.
credit_g,ada,sigmoid,cost_tuned_threshold,10,0.42400000000000004,0.3853538008193418,0.4626461991806583,0.19142857142857145,0.13156413197482636,0.25129301088231654,0.9666666666666666,0.9505158344058805,0.9828174989274526,1.0,1.0,1.0,0.0,0.0,0.0,0.666,0.6307321008406921,0.701267899159308,0.5977337110481586,German credit; class 1 follows configured positive mapping.
credit_g,ada,sigmoid,marginal_cp,10,0.917,0.9039988308218069,0.9300011691781932,1.0,1.0,1.0,0.7233333333333334,0.6799961027393562,0.7666705639273106,1.4404999999999997,1.4060695812785649,1.4749304187214345,0.4405,0.40606958127856513,0.4749304187214349,0.8300000000000001,0.6999883082180685,0.9600116917819317,0.5977337110481586,German credit; class 1 follows configured positive mapping.
credit_g,ada,sigmoid,mondrian_cp,10,0.898,0.8811394424765965,0.9148605575234036,0.8935714285714285,0.873613584109775,0.913529273033082,0.9083333333333332,0.8843530430726284,0.932313623594038,1.5294999999999999,1.4728358082893416,1.5861641917106581,0.5295000000000001,0.4728358082893419,0.5861641917106583,0.34950000000000003,0.27370981330013766,0.4252901866998624,0.5977337110481586,German credit; class 1 follows configured positive mapping.
credit_g,ada,sigmoid,raps_cp,10,0.9205,0.9050082832168643,0.9359917167831356,1.0,1.0,1.0,0.7349999999999999,0.6833609440562142,0.7866390559437856,1.7040000000000002,1.6658260961737823,1.742173903826218,0.704,0.6658260961737821,0.7421739038262178,0.7950000000000002,0.6400828321686429,0.9499171678313574,0.5977337110481586,German credit; class 1 follows configured positive mapping.
credit_g,ada,sigmoid,risk_controlled_rejector,10,0.9185000000000001,0.9057600000000001,0.9312400000000001,1.0,1.0,1.0,0.7283333333333333,0.6858666666666666,0.7707999999999999,1.445,1.4091558682937113,1.4808441317062888,0.44499999999999995,0.40915586829371114,0.48084413170628876,0.8150000000000001,0.6876000000000001,0.9424,0.5977337110481586,German credit; class 1 follows configured positive mapping.
credit_g,et,isotonic,aps_cp,10,0.9075000000000001,0.8963501818649611,0.9186498181350391,0.945,0.9317924264151207,0.9582075735848792,0.8200000000000001,0.7925392670918664,0.8474607329081337,1.5459999999999998,1.5098062767872658,1.5821937232127339,0.579,0.5455330039856843,0.6124669960143156,0.5395,0.451149498775238,0.6278505012247619,0.650611620795107,German credit; class 1 follows configured positive mapping.
credit_g,et,isotonic,capacity_limited_mondrian,10,0.7849999999999999,0.7706861838305316,0.7993138161694683,0.8942857142857144,0.8576115332375225,0.9309598953339062,0.53,0.4647029730508727,0.5952970269491273,1.1,1.1,1.1,0.1,0.1,0.1,1.484,1.3089188561456906,1.6590811438543094,0.650611620795107,German credit; class 1 follows configured positive mapping.
credit_g,et,isotonic,class_conditional_rejector,10,0.974,0.9637946070901486,0.9842053929098513,0.9871428571428572,0.9736498136677096,1.0006359006180048,0.9433333333333334,0.9140343298530396,0.9726323368136272,1.7380000000000002,1.67894285855584,1.7970571414441605,0.738,0.6789428585558397,0.7970571414441603,0.179,0.09419491734309528,0.2638050826569047,0.650611620795107,German credit; class 1 follows configured positive mapping.
credit_g,et,isotonic,class_weighted_threshold,10,0.4755,0.428264180728792,0.5227358192712079,0.27214285714285713,0.19052420459060998,0.3537615096951043,0.95,0.9132348796537523,0.9867651203462476,1.0,1.0,1.0,0.0,0.0,0.0,0.6595,0.597185389977773,0.7218146100222269,0.650611620795107,German credit; class 1 follows configured positive mapping.
credit_g,et,isotonic,confidence_rejector,10,0.983,0.9728575391984434,0.9931424608015565,0.9871428571428572,0.972267971522382,1.0020177427633326,0.9733333333333333,0.9593887516607017,0.9872779150059648,1.798,1.7523788041464157,1.8436211958535844,0.798,0.7523788041464156,0.8436211958535845,0.089,0.048651707457302344,0.12934829254269764,0.650611620795107,German credit; class 1 follows configured positive mapping.
credit_g,et,isotonic,cost_controlled_mondrian,10,0.998,0.9958331384703011,1.0001668615296988,0.9992857142857143,0.9978857142857144,1.0006857142857144,0.9950000000000001,0.9880277091636843,1.0019722908363158,1.964,1.9277179346416626,2.0002820653583373,0.9639999999999999,0.9277179346416624,1.0002820653583373,0.0155,-0.005286372672712498,0.036286372672712494,0.650611620795107,German credit; class 1 follows configured positive mapping.
credit_g,et,isotonic,cost_tuned_threshold,10,0.475,0.440738910959775,0.5092610890402249,0.2642857142857143,0.2121107948107192,0.3164606337607094,0.9666666666666666,0.9512674523208262,0.9820658810125069,1.0,1.0,1.0,0.0,0.0,0.0,0.615,0.5743303279799035,0.6556696720200965,0.650611620795107,German credit; class 1 follows configured positive mapping.
credit_g,et,isotonic,marginal_cp,10,0.9339999999999999,0.9153599523128888,0.9526400476871111,0.9814285714285715,0.965507097459955,0.9973500453971881,0.8233333333333333,0.7512360602217693,0.8954306064448972,1.5465,1.4612024603715519,1.631797539628448,0.5465,0.46120246037155194,0.6317975396284481,0.5429999999999999,0.3321433089091603,0.7538566910908395,0.650611620795107,German credit; class 1 follows configured positive mapping.
credit_g,et,isotonic,mondrian_cp,10,0.9365,0.9190271499494533,0.9539728500505467,0.9292857142857143,0.9041159793734123,0.9544554491980163,0.9533333333333334,0.9352433524763117,0.971423314190355,1.654,1.589740423627637,1.718259576372363,0.6539999999999999,0.5897404236276369,0.7182595763723629,0.1895,0.1355564620284423,0.2434435379715577,0.650611620795107,German credit; class 1 follows configured positive mapping.
