dataset,seed,model,probability_calibration,defer_cost,mondrian_cost,mondrian_abstain,threshold_cost,cost_diff,cost_diff_ci_lo,cost_diff_ci_hi,p_mondrian_cheaper,mondrian_wins
uci_default,7,hgb,none,0.0,0.2796666666666667,0.5165,0.712,-0.43233333333333335,-0.46550833333333336,-0.39848750000000005,1.0,True
uci_default,7,hgb,none,0.5,0.5379166666666667,0.5165,0.712,-0.17408333333333334,-0.20575208333333334,-0.14064791666666668,1.0,True
uci_default,7,hgb,none,1.0,0.7961666666666667,0.5165,0.712,0.08416666666666667,0.05266666666666667,0.1178375,0.0,False
uci_default,7,hgb,none,2.0,1.3126666666666666,0.5165,0.712,0.6006666666666667,0.565475,0.6355249999999999,0.0,False
uci_default,7,hgb,sigmoid,0.0,0.2843333333333333,0.504,0.7235,-0.43916666666666665,-0.4710125,-0.4065,1.0,True
uci_default,7,hgb,sigmoid,0.5,0.5363333333333333,0.504,0.7235,-0.18716666666666668,-0.21777708333333334,-0.1549125,1.0,True
uci_default,7,hgb,sigmoid,1.0,0.7883333333333333,0.504,0.7235,0.06483333333333334,0.032495833333333335,0.09702083333333332,0.0,False
uci_default,7,hgb,sigmoid,2.0,1.2923333333333333,0.504,0.7235,0.5688333333333333,0.5336541666666667,0.6048375,0.0,False
uci_default,7,hgb,isotonic,0.0,0.2796666666666667,0.516,0.6983333333333334,-0.4186666666666667,-0.44551250000000003,-0.3889916666666667,1.0,True
uci_default,7,hgb,isotonic,0.5,0.5376666666666666,0.516,0.6983333333333334,-0.16066666666666668,-0.18577083333333333,-0.13257291666666668,1.0,True
uci_default,7,hgb,isotonic,1.0,0.7956666666666666,0.516,0.6983333333333334,0.09733333333333333,0.07233333333333333,0.12418333333333331,0.0,False
uci_default,7,hgb,isotonic,2.0,1.3116666666666668,0.516,0.6983333333333334,0.6133333333333333,0.5841583333333333,0.6430083333333333,0.0,False
uci_default,7,logreg,none,0.0,0.285,0.6365,0.7798333333333334,-0.49483333333333335,-0.5373375,-0.45416666666666666,1.0,True
uci_default,7,logreg,none,0.5,0.60325,0.6365,0.7798333333333334,-0.17658333333333334,-0.21801666666666666,-0.13856666666666667,1.0,True
uci_default,7,logreg,none,1.0,0.9215,0.6365,0.7798333333333334,0.14166666666666666,0.10031666666666667,0.17817083333333333,0.0,False
uci_default,7,logreg,none,2.0,1.558,0.6365,0.7798333333333334,0.7781666666666667,0.7348250000000001,0.8166666666666667,0.0,False
uci_default,7,logreg,sigmoid,0.0,0.286,0.6386666666666667,0.776,-0.49,-0.53135,-0.4481625,1.0,True
