eps_hum,c_rev,total_cost,abstention_rate
0.0,0.0,0.1434628690053334,0.3833254707262068
0.0,0.25,0.23929423668688507,0.3833254707262068
0.0,0.5,0.3351256043684368,0.3833254707262068
0.0,1.0,0.5267883397315402,0.3833254707262068
0.0,2.0,0.9101138104577471,0.3833254707262068
0.02,0.0,0.15802923689292925,0.3833254707262068
0.02,0.25,0.25386060457448095,0.3833254707262068
0.02,0.5,0.34969197225603266,0.3833254707262068
0.02,1.0,0.5413547076191361,0.3833254707262068
0.02,2.0,0.9246801783453428,0.3833254707262068
0.05,0.0,0.17987878872432303,0.3833254707262068
0.05,0.25,0.27571015640587476,0.3833254707262068
0.05,0.5,0.3715415240874264,0.3833254707262068
0.05,1.0,0.5632042594505298,0.3833254707262068
0.05,2.0,0.9465297301767366,0.3833254707262068
0.1,0.0,0.2162947084433127,0.3833254707262068
0.1,0.25,0.31212607612486437,0.3833254707262068
0.1,0.5,0.4079574438064161,0.3833254707262068
0.1,1.0,0.5996201791695195,0.3833254707262068
0.1,2.0,0.9829456498957263,0.3833254707262068
0.15,0.0,0.25271062816230233,0.3833254707262068
0.15,0.25,0.348541995843854,0.3833254707262068
0.15,0.5,0.4443733635254057,0.3833254707262068
0.15,1.0,0.6360360988885091,0.3833254707262068
0.15,2.0,1.0193615696147158,0.3833254707262068
0.2,0.0,0.28912654788129194,0.3833254707262068
0.2,0.25,0.38495791556284364,0.3833254707262068
0.2,0.5,0.4807892832443954,0.3833254707262068
0.2,1.0,0.6724520186074988,0.3833254707262068
0.2,2.0,1.0557774893337055,0.3833254707262068
