dataset,c_rev_star_mean,c_rev_star_std,c_rev_star_median,c_rev_star_q25,c_rev_star_q75,n_samples,c_rev_star_ci_lo,c_rev_star_ci_hi
diabetes130us,0.8497747908275277,0.02604549006243695,0.846542730620681,0.8362616798413408,0.8595892006821377,210,0.8462520640765446,0.8532975175785108
uci_default,0.8111412737671657,0.02537350132369551,0.8142563802646151,0.7986695891608118,0.8277547133793934,210,0.8077094354080174,0.814573112126314
bank_marketing,0.7916679119518285,0.07390019942987085,0.8035574509907157,0.7421812234424583,0.8409174781226593,210,0.7816726993906318,0.8016631245130252
ozone_level_8hr,0.636511258583826,0.36738858646936046,0.6271373414230558,0.4084857450242066,0.8333333333333333,210,0.5868209053419027,0.6862016118257492
credit_g,0.6246931317046714,0.16796566089979856,0.6711171201622445,0.5576152771308804,0.7335928809788654,210,0.6019752974278024,0.6474109659815405
pc1,0.6032140439286413,0.23846348387812594,0.5660377358490566,0.4528823100177213,0.7343537414965986,210,0.5709611782011645,0.6354669096561181
adult,0.5798208317095644,0.13617770203199273,0.5770774543782767,0.4866214572588574,0.7052742085132102,210,0.5614024094535224,0.5982392539656065
seismic_bumps,0.523554877507721,0.10365264751631784,0.5092962962962964,0.44871480079089177,0.5796443976994354,210,0.5095355615593309,0.5375741934561111
oil_spill,0.4433560148616849,0.575548199457242,0.32210669077757687,0.16736499068901306,0.6139984070091598,208,0.36513812356356257,0.5215739061598073
sick_numeric,0.3772781269704858,1.6721809752763228,0.42592592592592593,0.1918767507002801,0.773879142300195,199,0.14494410468029056,0.609612149260681
aps_failure,0.2054641743894899,0.21953445804655153,0.18892375069451253,0.11606462292137053,0.2663603734887737,204,0.17533802091216397,0.23559032786681586
wilt,0.17824415744845584,3.353235964041343,0.45430684800763543,0.23749999999999982,0.7213345864661654,198,-0.2888318848516442,0.6453201997485558
mammography,-0.9109720789747817,3.383697743653012,-0.03930712858094603,-0.21874999999999997,0.02855543113101903,209,-1.3697204024193965,-0.45222375553016697
fraud,-1.6054163292429058,5.867891077917688,-0.1805050829037417,-1.0712804323806238,-0.04984433434338125,202,-2.4146285452557694,-0.7962041132300423
miniboone,-3.562150607112308,12.119567793133756,0.09829889919201747,-0.3539477421187165,0.41058191783451137,208,-5.209218632201292,-1.915082582023324
