dataset,model,probability_calibration,marginal_minority_coverage,mondrian_minority_coverage,coverage_gain,mondrian_abstention,mondrian_cost,break_even_defer_cost,failure_mode
oil_spill,gnb,isotonic,0.0875,0.875,0.7875,0.6744680851063829,0.12978723404255316,0.28233438485804413,marginal_undercoverage
diabetes130us,rf,none,0.10699823943661972,0.9004401408450704,0.7934419014084507,0.6734597622089025,0.20019160852903606,0.8499153754121801,marginal_undercoverage
diabetes130us,et,sigmoid,0.10048415492957748,0.900044014084507,0.7995598591549294,0.6723887196619829,0.20143952048737349,0.8540823335135688,marginal_undercoverage
diabetes130us,et,none,0.1037411971830986,0.897095070422535,0.7933538732394364,0.6681536798663653,0.20366021420850938,0.8434733374511015,marginal_undercoverage
wilt,gnb,isotonic,0.15576923076923074,0.9615384615384615,0.8057692307692307,0.662706611570248,0.07892561983471075,0.37630553390491034,marginal_undercoverage
ozone_level_8hr,rf,isotonic,0.171875,0.98125,0.809375,0.6609467455621302,0.06804733727810651,0.30110414801551777,marginal_undercoverage
ozone_level_8hr,hgb,isotonic,0.115625,0.965625,0.85,0.6597633136094674,0.08106508875739644,0.36083707025411066,marginal_undercoverage
diabetes130us,hgb,sigmoid,0.1063380281690141,0.8996038732394366,0.7932658450704225,0.6506386950967868,0.20072221676328977,0.8496273531121867,marginal_undercoverage
diabetes130us,gb,sigmoid,0.1079225352112676,0.9003961267605634,0.7924735915492958,0.6503979561756903,0.19984769578461237,0.8476832197730809,marginal_undercoverage
ozone_level_8hr,ada,isotonic,0.1,0.96875,0.86875,0.647337278106509,0.06883629191321498,0.40737355271176107,marginal_undercoverage
diabetes130us,gb,none,0.10462147887323943,0.8991637323943662,0.7945422535211267,0.6461088729488061,0.20101699911565296,0.8482917518953075,marginal_undercoverage
diabetes130us,hgb,none,0.1065580985915493,0.8980633802816902,0.7915052816901409,0.6454308735383708,0.20122334676230716,0.8482922410577677,marginal_undercoverage
seismic_bumps,rf,sigmoid,0.0,0.9382352941176471,0.9382352941176471,0.641779497098646,0.13133462282398453,0.5114526823387583,marginal_undercoverage
seismic_bumps,rf,none,0.0,0.9352941176470588,0.9352941176470588,0.6388781431334624,0.13636363636363638,0.5143808658795035,marginal_undercoverage
pc1,et,isotonic,0.075,0.9625,0.8875000000000001,0.6351351351351352,0.07972972972972972,0.49929078014184397,marginal_undercoverage
ozone_level_8hr,gb,isotonic,0.13125,0.95,0.81875,0.6331360946745562,0.08500986193293886,0.38380062305295953,marginal_undercoverage
pc1,ada,isotonic,0.1,0.91875,0.81875,0.5945945945945946,0.09864864864864865,0.6681818181818182,marginal_undercoverage
pc1,rf,isotonic,0.11875,0.9625,0.84375,0.5797297297297297,0.06891891891891891,0.6122766122766123,marginal_undercoverage
pc1,gb,isotonic,0.13125,0.91875,0.7875,0.5738738738738739,0.1009009009009009,0.685243328100471,marginal_undercoverage
ozone_level_8hr,et,isotonic,0.175,0.971875,0.796875,0.5585798816568047,0.0767258382642998,0.356638418079096,marginal_undercoverage
oil_spill,rf,isotonic,0.15,0.95,0.7999999999999999,0.5547872340425531,0.06968085106382978,0.31255992329817833,marginal_undercoverage
bank_marketing,gnb,isotonic,0.19848771266540643,0.9389413988657846,0.7404536862003782,0.5450624792657304,0.12416233550812783,0.6761209170217083,marginal_undercoverage
pc1,logreg,sigmoid,0.0,0.91875,0.91875,0.46621621621621623,0.1445945945945946,0.7072463768115942,marginal_undercoverage
wilt,gnb,sigmoid,0.0,0.9423076923076922,0.9423076923076922,0.46280991735537186,0.12510330578512396,0.44933035714285713,marginal_undercoverage
pc1,hgb,sigmoid,0.0,0.8375,0.8375,0.43468468468468463,0.20090090090090093,0.5119170984455959,marginal_undercoverage
pc1,et,sigmoid,0.0,0.94375,0.94375,0.42837837837837833,0.12702702702702703,0.5920084121976866,marginal_undercoverage
oil_spill,gb,sigmoid,0.0,0.9375,0.9375,0.4212765957446808,0.10691489361702126,0.33207070707070707,marginal_undercoverage
ozone_level_8hr,gb,sigmoid,0.0,0.934375,0.934375,0.3875739644970414,0.11873767258382643,0.49872773536895676,marginal_undercoverage
oil_spill,gb,none,0.1375,0.9375,0.8,0.3813829787234043,0.10904255319148937,0.3514644351464435,marginal_undercoverage
oil_spill,gnb,sigmoid,0.0,0.7375,0.7375,0.3728723404255319,0.22606382978723402,0.5092724679029957,marginal_undercoverage
pc1,rf,sigmoid,0.0,0.9125,0.9125,0.3572072072072072,0.15045045045045044,0.7313997477931904,marginal_undercoverage
oil_spill,logreg,isotonic,0.05,0.9,0.85,0.35638297872340424,0.09042553191489362,0.36567164179104483,marginal_undercoverage
pc1,ada,sigmoid,0.0,0.81875,0.81875,0.3463963963963964,0.20135135135135135,0.6970091027308192,marginal_undercoverage
pc1,logreg,none,0.08125,0.8875,0.8062499999999999,0.3423423423423424,0.16801801801801802,0.8552631578947367,marginal_undercoverage
pc1,gb,sigmoid,0.0,0.85625,0.85625,0.3342342342342342,0.18963963963963965,0.7075471698113207,marginal_undercoverage
ozone_level_8hr,gb,none,0.090625,0.94375,0.853125,0.33412228796844184,0.11755424063116371,0.5460448642266824,marginal_undercoverage
pc1,et,none,0.05,0.925,0.875,0.32927927927927925,0.13288288288288289,0.6183310533515732,marginal_undercoverage
pc1,rf,none,0.13125,0.9125,0.78125,0.32657657657657657,0.1563063063063063,0.7986206896551724,marginal_undercoverage
pc1,ada,none,0.1,0.8625,0.7625000000000001,0.3234234234234234,0.1900900900900901,0.924791086350975,marginal_undercoverage
ozone_level_8hr,ada,sigmoid,0.0,0.940625,0.940625,0.31341222879684416,0.11439842209072978,0.6651982378854626,marginal_undercoverage
ozone_level_8hr,ada,none,0.09375,0.9125,0.81875,0.30769230769230776,0.1416173570019724,0.525,marginal_undercoverage
ozone_level_8hr,hgb,none,0.0625,0.93125,0.86875,0.2838264299802762,0.12623274161735698,0.6400277970813064,marginal_undercoverage
ozone_level_8hr,logreg,sigmoid,0.0,0.94375,0.94375,0.28382642998027613,0.12011834319526629,0.655316191799861,marginal_undercoverage
ozone_level_8hr,rf,sigmoid,0.0,0.93125,0.93125,0.2830374753451676,0.12465483234714003,0.5261324041811847,marginal_undercoverage
ozone_level_8hr,hgb,sigmoid,0.0,0.921875,0.921875,0.27988165680473376,0.1329388560157791,0.6680761099365751,marginal_undercoverage
ozone_level_8hr,rf,none,0.00625,0.934375,0.928125,0.2739644970414201,0.12307692307692308,0.5298776097912167,marginal_undercoverage
pc1,gb,none,0.15,0.85625,0.7062499999999999,0.2716216216216217,0.19009009009009006,0.7346600331674958,marginal_undercoverage
ozone_level_8hr,logreg,none,0.115625,0.946875,0.83125,0.2641025641025641,0.11834319526627217,0.6699029126213593,marginal_undercoverage
