dataset,seed,model,probability_calibration,method,fn_cost,fp_cost,defer_cost,threshold,marginal_coverage,coverage_class_0,coverage_class_1,average_set_size,abstention_rate,mean_cost,mean_cost_automated_only
uci_default,7,hgb,none,mondrian_cp,5.0,1.0,0.0,,0.9038333333333334,0.9015621656323561,0.9118311981914092,1.5258333333333334,0.5258333333333334,0.17416666666666666,0.36731107205623903
uci_default,7,hgb,none,cost_tuned_threshold,5.0,1.0,0.0,0.16,0.6658333333333334,0.6383479563449604,0.7626224566691786,1.0,0.0,0.5441666666666667,0.5441666666666667
uci_default,7,hgb,none,mondrian_cp,5.0,1.0,0.25,,0.9038333333333334,0.9015621656323561,0.9118311981914092,1.5258333333333334,0.5258333333333334,0.305625,0.36731107205623903
uci_default,7,hgb,none,cost_tuned_threshold,5.0,1.0,0.25,0.16,0.6658333333333334,0.6383479563449604,0.7626224566691786,1.0,0.0,0.5441666666666667,0.5441666666666667
uci_default,7,hgb,none,mondrian_cp,5.0,1.0,0.5,,0.9038333333333334,0.9015621656323561,0.9118311981914092,1.5258333333333334,0.5258333333333334,0.4370833333333333,0.36731107205623903
uci_default,7,hgb,none,cost_tuned_threshold,5.0,1.0,0.5,0.16,0.6658333333333334,0.6383479563449604,0.7626224566691786,1.0,0.0,0.5441666666666667,0.5441666666666667
uci_default,7,hgb,none,mondrian_cp,5.0,1.0,1.0,,0.9038333333333334,0.9015621656323561,0.9118311981914092,1.5258333333333334,0.5258333333333334,0.7,0.36731107205623903
uci_default,7,hgb,none,cost_tuned_threshold,5.0,1.0,1.0,0.16,0.6658333333333334,0.6383479563449604,0.7626224566691786,1.0,0.0,0.5441666666666667,0.5441666666666667
uci_default,7,hgb,none,mondrian_cp,10.0,1.0,0.0,,0.9038333333333334,0.9015621656323561,0.9118311981914092,1.5258333333333334,0.5258333333333334,0.27166666666666667,0.5729349736379613
uci_default,7,hgb,none,cost_tuned_threshold,10.0,1.0,0.0,0.082,0.4003333333333333,0.24523860475069548,0.9464958553127355,1.0,0.0,0.7061666666666667,0.7061666666666667
uci_default,7,hgb,none,mondrian_cp,10.0,1.0,0.25,,0.9038333333333334,0.9015621656323561,0.9118311981914092,1.5258333333333334,0.5258333333333334,0.403125,0.5729349736379613
uci_default,7,hgb,none,cost_tuned_threshold,10.0,1.0,0.25,0.082,0.4003333333333333,0.24523860475069548,0.9464958553127355,1.0,0.0,0.7061666666666667,0.7061666666666667
uci_default,7,hgb,none,mondrian_cp,10.0,1.0,0.5,,0.9038333333333334,0.9015621656323561,0.9118311981914092,1.5258333333333334,0.5258333333333334,0.5345833333333333,0.5729349736379613
uci_default,7,hgb,none,cost_tuned_threshold,10.0,1.0,0.5,0.082,0.4003333333333333,0.24523860475069548,0.9464958553127355,1.0,0.0,0.7061666666666667,0.7061666666666667
uci_default,7,hgb,none,mondrian_cp,10.0,1.0,1.0,,0.9038333333333334,0.9015621656323561,0.9118311981914092,1.5258333333333334,0.5258333333333334,0.7975,0.5729349736379613
uci_default,7,hgb,none,cost_tuned_threshold,10.0,1.0,1.0,0.082,0.4003333333333333,0.24523860475069548,0.9464958553127355,1.0,0.0,0.7061666666666667,0.7061666666666667
uci_default,7,hgb,none,mondrian_cp,20.0,1.0,0.0,,0.9038333333333334,0.9015621656323561,0.9118311981914092,1.5258333333333334,0.5258333333333334,0.4666666666666667,0.984182776801406
uci_default,7,hgb,none,cost_tuned_threshold,20.0,1.0,0.0,0.034,0.2395,0.02418146800770383,0.9977392614920875,1.0,0.0,0.77,0.77
