model,probability_calibration,method,marginal_coverage_mean,coverage_class_1_mean,average_set_size_mean,abstention_rate_mean,mean_cost_mean,cost_rank,minority_coverage_rank
ada,isotonic,aps_cp,0.9020036774511847,0.6150682307690948,1.0803187369611087,0.19481035581888706,0.34348698280126577,4.4,4.266666666666667
ada,isotonic,capacity_limited_aps,0.9072703663850087,0.5573530317523766,1.0324473177968756,0.09802538452401523,0.4923261690780747,4.533333333333333,4.4
ada,isotonic,capacity_limited_class_conditional_rejector,0.9337795503236134,0.4423054990144074,1.0429043071852702,0.04290430718527012,0.5698316873399892,4.333333333333333,4.3
ada,isotonic,capacity_limited_confidence_rejector,0.9436624280043697,0.6471415346965943,1.0970938471578084,0.09709384715780844,0.46465514370203337,4.466666666666667,4.5
ada,isotonic,capacity_limited_mondrian,0.9043818538959457,0.7235676439508284,1.0698243861446275,0.0803113047959724,0.41629699178379176,4.8,4.1
ada,isotonic,capacity_limited_raps,0.8948779374024344,0.49644440230879816,1.0066139933646379,0.08707150228797511,0.5297913833805009,4.666666666666667,4.633333333333334
ada,isotonic,capacity_limited_risk_controlled_rejector,0.9275899984180798,0.4397412261256137,1.0251161407366065,0.02511614073660654,0.5790175920207509,4.4,4.366666666666666
ada,isotonic,class_conditional_rejector,0.956535620523002,0.5037103793532568,1.126986378723475,0.12698637872347518,0.4020772485418987,4.266666666666667,4.233333333333333
ada,isotonic,class_weighted_threshold,0.7819119346057805,0.8118863087729297,1.0,0.0,0.33726387775339745,5.0,4.7
ada,isotonic,confidence_rejector,0.9952423315285865,0.9489551320805987,1.6458785182586437,0.6458785182586436,0.03281188616723071,4.666666666666667,4.733333333333333
ada,isotonic,cost_controlled_mondrian,0.9936963315787994,0.9757919416836712,1.7364331103979114,0.7364331103979114,0.023486482450399825,4.533333333333333,4.566666666666666
ada,isotonic,cost_tuned_threshold,0.7829894214659278,0.8039395853122028,1.0,0.0,0.34099836731392935,4.666666666666667,4.866666666666666
ada,isotonic,marginal_cp,0.9201259336633145,0.33731729845728,1.0414267328802604,0.10005546545065483,0.4222394749965498,4.6,4.3
ada,isotonic,mondrian_cp,0.9343559541559748,0.9358403549739683,1.4013676464650127,0.4118545651163577,0.12615598918350215,4.466666666666667,4.033333333333333
ada,isotonic,random_oversampling_threshold,0.7805999986478308,0.812511883744605,1.0,0.0,0.33560007825791316,4.933333333333334,4.833333333333333
ada,isotonic,raps_cp,0.9029777135560656,0.5358579535478836,1.0500888177277872,0.14334186189685102,0.4172785682284673,4.8,4.733333333333333
ada,isotonic,risk_controlled_rejector,0.9425621241900796,0.4790189128306476,1.0706835111031858,0.07068351110318562,0.4669637260501636,4.333333333333333,4.333333333333333
ada,isotonic,smote_threshold,0.7637539596956071,0.8046471981442936,1.0,0.0,0.3502012213483129,5.066666666666666,4.733333333333333
ada,none,aps_cp,0.9007934793314958,0.5396784758331773,1.079515776328197,0.1730959771018543,0.4253885691932542,6.333333333333333,6.033333333333333
