eps_hum,c_rev,total_cost,abstention_rate
0.0,0.0,0.1417529276401374,0.3918708141579976
0.0,0.25,0.2397206311796368,0.3918708141579976
0.0,0.5,0.33768833471913623,0.3918708141579976
0.0,1.0,0.533623741798135,0.3918708141579976
0.0,2.0,0.9254945559561326,0.3918708141579976
0.02,0.0,0.15664401857814128,0.3918708141579976
0.02,0.25,0.2546117221176407,0.3918708141579976
0.02,0.5,0.3525794256571401,0.3918708141579976
0.02,1.0,0.5485148327361389,0.3918708141579976
0.02,2.0,0.9403856468941366,0.3918708141579976
0.05,0.0,0.17898065498514718,0.3918708141579976
0.05,0.25,0.27694835852464655,0.3918708141579976
0.05,0.5,0.37491606206414596,0.3918708141579976
0.05,1.0,0.5708514691431448,0.3918708141579976
0.05,2.0,0.9627222833011424,0.3918708141579976
0.1,0.0,0.21620838233015696,0.3918708141579976
0.1,0.25,0.31417608586965634,0.3918708141579976
0.1,0.5,0.41214378940915575,0.3918708141579976
0.1,1.0,0.6080791964881546,0.3918708141579976
0.1,2.0,0.9999500106461522,0.3918708141579976
0.15,0.0,0.2534361096751667,0.3918708141579976
0.15,0.25,0.3514038132146661,0.3918708141579976
0.15,0.5,0.44937151675416553,0.3918708141579976
0.15,1.0,0.6453069238331643,0.3918708141579976
0.15,2.0,1.037177737991162,0.3918708141579976
0.2,0.0,0.2906638370201765,0.3918708141579976
0.2,0.25,0.3886315405596759,0.3918708141579976
0.2,0.5,0.4865992440991753,0.3918708141579976
0.2,1.0,0.6825346511781741,0.3918708141579976
0.2,2.0,1.0744054653361717,0.3918708141579976
