dataset,seed,model,probability_calibration,defer_cost,mondrian_cost,mondrian_abstain,threshold_cost,cost_diff,cost_diff_ci_lo,cost_diff_ci_hi,p_mondrian_cheaper,mondrian_wins
uci_default,7,hgb,none,0.0,0.27166666666666667,0.5258333333333334,0.7061666666666667,-0.4345,-0.45950416666666666,-0.40666250000000004,1.0,True
uci_default,7,hgb,none,0.5,0.5345833333333333,0.5258333333333334,0.7061666666666667,-0.17158333333333334,-0.19467083333333332,-0.14708333333333334,1.0,True
uci_default,7,hgb,none,1.0,0.7975,0.5258333333333334,0.7061666666666667,0.09133333333333334,0.0675,0.11567916666666665,0.0,False
uci_default,7,hgb,none,2.0,1.3233333333333333,0.5258333333333334,0.7061666666666667,0.6171666666666666,0.5899916666666667,0.6456666666666667,0.0,False
uci_default,7,hgb,sigmoid,0.0,0.2765,0.5193333333333333,0.7235,-0.447,-0.4775041666666667,-0.41515833333333335,1.0,True
uci_default,7,hgb,sigmoid,0.5,0.5361666666666667,0.5193333333333333,0.7235,-0.18733333333333332,-0.21758958333333334,-0.15574791666666668,1.0,True
uci_default,7,hgb,sigmoid,1.0,0.7958333333333333,0.5193333333333333,0.7235,0.07233333333333333,0.04132916666666667,0.1043375,0.0,False
uci_default,7,hgb,sigmoid,2.0,1.3151666666666666,0.5193333333333333,0.7235,0.5916666666666667,0.5566583333333334,0.6265291666666666,0.0,False
uci_default,7,hgb,isotonic,0.0,0.253,0.545,0.6983333333333334,-0.44533333333333336,-0.4696708333333333,-0.4206541666666667,1.0,True
uci_default,7,hgb,isotonic,0.5,0.5255,0.545,0.6983333333333334,-0.17283333333333334,-0.19516666666666665,-0.15016666666666667,1.0,True
uci_default,7,hgb,isotonic,1.0,0.798,0.545,0.6983333333333334,0.09966666666666667,0.07716666666666666,0.12167916666666666,0.0,False
uci_default,7,hgb,isotonic,2.0,1.343,0.545,0.6983333333333334,0.6446666666666667,0.6181625,0.6701708333333334,0.0,False
uci_default,7,logreg,none,0.0,0.2653333333333333,0.6576666666666666,0.7798333333333334,-0.5145,-0.556175,-0.47549166666666665,1.0,True
uci_default,7,logreg,none,0.5,0.5941666666666666,0.6576666666666666,0.7798333333333334,-0.18566666666666667,-0.22592916666666665,-0.14816666666666667,1.0,True
uci_default,7,logreg,none,1.0,0.923,0.6576666666666666,0.7798333333333334,0.14316666666666666,0.10216666666666667,0.1800125,0.0,False
uci_default,7,logreg,none,2.0,1.5806666666666667,0.6576666666666666,0.7798333333333334,0.8008333333333333,0.7594916666666667,0.8365041666666667,0.0,False
uci_default,7,logreg,sigmoid,0.0,0.26066666666666666,0.657,0.7773333333333333,-0.5166666666666667,-0.5578416666666667,-0.47716250000000004,1.0,True
uci_default,7,logreg,sigmoid,0.5,0.5891666666666666,0.657,0.7773333333333333,-0.18816666666666668,-0.22825208333333333,-0.1502375,1.0,True
uci_default,7,logreg,sigmoid,1.0,0.9176666666666666,0.657,0.7773333333333333,0.14033333333333334,0.10149583333333334,0.17650833333333332,0.0,False
uci_default,7,logreg,sigmoid,2.0,1.5746666666666667,0.657,0.7773333333333333,0.7973333333333333,0.7568291666666667,0.8328333333333333,0.0,False
uci_default,7,logreg,isotonic,0.0,0.10233333333333333,0.7925,0.7775,-0.6751666666666667,-0.6943375,-0.6536666666666666,1.0,True
uci_default,7,logreg,isotonic,0.5,0.4985833333333333,0.7925,0.7775,-0.27891666666666665,-0.29700208333333333,-0.26041458333333334,1.0,True
uci_default,7,logreg,isotonic,1.0,0.8948333333333334,0.7925,0.7775,0.11733333333333333,0.09982916666666666,0.13617083333333332,0.0,False
uci_default,7,logreg,isotonic,2.0,1.6873333333333334,0.7925,0.7775,0.9098333333333334,0.8883291666666666,0.9316708333333333,0.0,False
uci_default,7,rf,none,0.0,0.289,0.5266666666666666,0.7161666666666666,-0.42716666666666664,-0.4508333333333333,-0.4038291666666667,1.0,True
uci_default,7,rf,none,0.5,0.5523333333333333,0.5266666666666666,0.7161666666666666,-0.16383333333333333,-0.1845,-0.14241041666666668,1.0,True
uci_default,7,rf,none,1.0,0.8156666666666667,0.5266666666666666,0.7161666666666666,0.0995,0.0786625,0.12,0.0,False
uci_default,7,rf,none,2.0,1.3423333333333334,0.5266666666666666,0.7161666666666666,0.6261666666666666,0.6011666666666666,0.6518333333333334,0.0,False
uci_default,7,rf,sigmoid,0.0,0.2996666666666667,0.5253333333333333,0.7281666666666666,-0.4285,-0.4525,-0.40366250000000004,1.0,True
uci_default,7,rf,sigmoid,0.5,0.5623333333333334,0.5253333333333333,0.7281666666666666,-0.16583333333333333,-0.18766875,-0.14299583333333332,1.0,True
uci_default,7,rf,sigmoid,1.0,0.825,0.5253333333333333,0.7281666666666666,0.09683333333333333,0.0755,0.1203375,0.0,False
uci_default,7,rf,sigmoid,2.0,1.3503333333333334,0.5253333333333333,0.7281666666666666,0.6221666666666666,0.5961583333333333,0.6491666666666667,0.0,False
uci_default,7,rf,isotonic,0.0,0.2901666666666667,0.5406666666666666,0.7393333333333333,-0.44916666666666666,-0.463,-0.43716666666666665,1.0,True
uci_default,7,rf,isotonic,0.5,0.5605,0.5406666666666666,0.7393333333333333,-0.17883333333333334,-0.18733541666666667,-0.17108125000000002,1.0,True
uci_default,7,rf,isotonic,1.0,0.8308333333333333,0.5406666666666666,0.7393333333333333,0.0915,0.08433333333333333,0.09900416666666667,0.0,False
uci_default,7,rf,isotonic,2.0,1.3715,0.5406666666666666,0.7393333333333333,0.6321666666666667,0.6169916666666667,0.6486666666666666,0.0,False
uci_default,7,et,none,0.0,0.26666666666666666,0.5426666666666666,0.7248333333333333,-0.45816666666666667,-0.49200416666666663,-0.421325,1.0,True
