eps_hum,c_rev,total_cost,abstention_rate
0.0,0.0,0.14175342435901903,0.3919686812276491
0.0,0.25,0.2397455946659313,0.3919686812276491
0.0,0.5,0.3377377649728436,0.3919686812276491
0.0,1.0,0.5337221055866682,0.3919686812276491
0.0,2.0,0.9256907868143173,0.3919686812276491
0.02,0.0,0.15664823424566968,0.3919686812276491
0.02,0.25,0.25464040455258197,0.3919686812276491
0.02,0.5,0.35263257485949423,0.3919686812276491
0.02,1.0,0.5486169154733188,0.3919686812276491
0.02,2.0,0.940585596700968,0.3919686812276491
0.05,0.0,0.17899044907564565,0.3919686812276491
0.05,0.25,0.27698261938255797,0.3919686812276491
0.05,0.5,0.37497478968947023,0.3919686812276491
0.05,1.0,0.5709591303032948,0.3919686812276491
0.05,2.0,0.962927811530944,0.3919686812276491
0.1,0.0,0.21622747379227233,0.3919686812276491
0.1,0.25,0.3142196440991846,0.3919686812276491
0.1,0.5,0.41221181440609694,0.3919686812276491
0.1,1.0,0.6081961550199215,0.3919686812276491
0.1,2.0,1.0001648362475706,0.3919686812276491
0.15,0.0,0.253464498508899,0.3919686812276491
0.15,0.25,0.3514566688158113,0.3919686812276491
0.15,0.5,0.4494488391227236,0.3919686812276491
0.15,1.0,0.6454331797365481,0.3919686812276491
0.15,2.0,1.0374018609641973,0.3919686812276491
0.2,0.0,0.29070152322552567,0.3919686812276491
0.2,0.25,0.38869369353243793,0.3919686812276491
0.2,0.5,0.48668586383935025,0.3919686812276491
0.2,1.0,0.6826702044531747,0.3919686812276491
0.2,2.0,1.074638885680824,0.3919686812276491
