dataset,model,probability_calibration,method,setting,coverage_class_1,abstention_rate,mean_cost,ablation
adult,ada,isotonic,cost_tuned_threshold,,0.9489734816082122,0.0,0.4080970416624015,alpha_frontier
adult,ada,isotonic,marginal_cp,0.01,0.9719418306244654,0.5370150475995497,0.06763230627495137,alpha_frontier
adult,ada,isotonic,marginal_cp,0.03,0.8964499572284004,0.3664448766506295,0.24898147200327564,alpha_frontier
adult,ada,isotonic,marginal_cp,0.05,0.8555175363558597,0.29187224895076264,0.35404852083120075,alpha_frontier
adult,ada,isotonic,marginal_cp,0.06999999999999999,0.8019247219846022,0.23299211792404545,0.48573037158358073,alpha_frontier
adult,ada,isotonic,marginal_cp,0.09,0.7393071000855432,0.1650015354693418,0.6422765892107687,alpha_frontier
adult,ada,isotonic,marginal_cp,0.11,0.7307955517536355,0.12357457262769986,0.6755246186917802,alpha_frontier
adult,ada,isotonic,marginal_cp,0.13,0.6259623609923011,0.061265226737639476,0.9272494625857304,alpha_frontier
adult,ada,isotonic,marginal_cp,0.15000000000000002,0.5662959794696322,0.019633534650424812,1.0738560753403623,alpha_frontier
adult,ada,isotonic,marginal_cp,0.17,0.520786997433704,0.02318558706111168,1.0652369741017504,alpha_frontier
adult,ada,isotonic,marginal_cp,0.19,0.5017964071856287,0.04909407308834067,0.9821066639369433,alpha_frontier
adult,ada,isotonic,marginal_cp,0.21000000000000002,0.5017964071856287,0.060180161736104,0.9386016992527383,alpha_frontier
adult,ada,isotonic,marginal_cp,0.23,0.4943969204448247,0.12811956187941448,0.668686661889651,alpha_frontier
adult,ada,isotonic,marginal_cp,0.25,0.45834046193327627,0.15104923738356024,0.628866823625755,alpha_frontier
adult,ada,isotonic,marginal_cp,0.27,0.36569717707442256,0.19093049442112806,0.5943187634353567,alpha_frontier
adult,ada,isotonic,marginal_cp,0.29000000000000004,0.3560735671514115,0.20203705599344865,0.5701709489200533,alpha_frontier
adult,ada,isotonic,marginal_cp,0.31,0.3389221556886227,0.23263384174429316,0.4948101136247313,alpha_frontier
adult,ada,isotonic,marginal_cp,0.33,0.31822070145423437,0.25290203705599346,0.455307605691473,alpha_frontier
adult,ada,isotonic,marginal_cp,0.35000000000000003,0.3023096663815227,0.28984542941959257,0.3626676220698127,alpha_frontier
adult,ada,isotonic,marginal_cp,0.37,0.23100940975192472,0.3235029173917494,0.3280990889548572,alpha_frontier
adult,ada,isotonic,marginal_cp,0.39,0.2190761334473909,0.34550107482853926,0.28913911352236665,alpha_frontier
adult,ada,isotonic,marginal_cp,0.41000000000000003,0.203464499572284,0.3760773876548265,0.23723001330740096,alpha_frontier
adult,ada,isotonic,marginal_cp,0.43,0.203464499572284,0.3768758317125601,0.23559217934281912,alpha_frontier
adult,ada,isotonic,marginal_cp,0.45,0.20213857998289136,0.38927218753198894,0.21540587572934794,alpha_frontier
adult,ada,isotonic,mondrian_cp,0.01,0.9946963216424294,0.7158358071450507,0.014197973180468828,alpha_frontier
adult,ada,isotonic,mondrian_cp,0.03,0.977715996578272,0.5114443648275155,0.06650629542430136,alpha_frontier
adult,ada,isotonic,mondrian_cp,0.05,0.9631736526946109,0.40106459207697825,0.12025795884942166,alpha_frontier
adult,ada,isotonic,mondrian_cp,0.06999999999999999,0.9431137724550899,0.319346913706623,0.18094994369945747,alpha_frontier
adult,ada,isotonic,mondrian_cp,0.09,0.9320359281437126,0.2789435970928447,0.21695158153342203,alpha_frontier
adult,ada,isotonic,mondrian_cp,0.11,0.9103079555175364,0.23035111065615724,0.27758214760978606,alpha_frontier
adult,ada,isotonic,mondrian_cp,0.13,0.8865697177074423,0.16799058245470366,0.3500255911556966,alpha_frontier
adult,ada,isotonic,mondrian_cp,0.15000000000000002,0.8756629597946963,0.10466782679905824,0.4063056607636401,alpha_frontier
adult,ada,isotonic,mondrian_cp,0.17,0.8563729683490162,0.07998771624526564,0.4560036851264203,alpha_frontier
adult,ada,isotonic,mondrian_cp,0.19,0.841573994867408,0.0670488279250691,0.4914218446105026,alpha_frontier
adult,ada,isotonic,mondrian_cp,0.21000000000000002,0.8379811804961506,0.03489609990787184,0.5206264714914526,alpha_frontier
adult,ada,isotonic,mondrian_cp,0.23,0.8248502994011977,0.026133688197358996,0.5119766608660047,alpha_frontier
adult,ada,isotonic,mondrian_cp,0.25,0.7739093242087254,0.07811444364827516,0.4387143003378033,alpha_frontier
adult,ada,isotonic,mondrian_cp,0.27,0.7655260906757912,0.10489302896918826,0.3931518067355922,alpha_frontier
adult,ada,isotonic,mondrian_cp,0.29000000000000004,0.7474764756201882,0.13753710717576006,0.34759954959565975,alpha_frontier
adult,ada,isotonic,mondrian_cp,0.31,0.7330196749358426,0.14977991606100932,0.3359504555225714,alpha_frontier
adult,ada,isotonic,mondrian_cp,0.33,0.7307955517536355,0.1573753710717576,0.32562186508342716,alpha_frontier
adult,ada,isotonic,mondrian_cp,0.35000000000000003,0.7168092386655261,0.17729552666598422,0.3026921895792814,alpha_frontier
adult,ada,isotonic,mondrian_cp,0.37,0.705945252352438,0.22844712867233086,0.2369843382127137,alpha_frontier
adult,ada,isotonic,mondrian_cp,0.39,0.6736526946107785,0.2614085372095404,0.20997031425939197,alpha_frontier
adult,ada,isotonic,mondrian_cp,0.41000000000000003,0.6193755346449957,0.30334732316511415,0.18228068379568022,alpha_frontier
adult,ada,isotonic,mondrian_cp,0.43,0.6140718562874252,0.32580612140444265,0.16360937659944724,alpha_frontier
adult,ada,isotonic,mondrian_cp,0.45,0.5866980325064157,0.34403726072269425,0.15340362370764665,alpha_frontier
adult,ada,none,cost_tuned_threshold,,0.9528656971770744,0.0,0.40518988637526865,alpha_frontier
adult,ada,none,marginal_cp,0.01,0.9652694610778443,0.5200737025284062,0.08338622172177296,alpha_frontier
adult,ada,none,marginal_cp,0.03,0.8920444824636441,0.3616132664551131,0.2592691165933053,alpha_frontier
adult,ada,none,marginal_cp,0.05,0.8468349016253208,0.2784624833657488,0.3766096836933156,alpha_frontier
adult,ada,none,marginal_cp,0.06999999999999999,0.7867408041060735,0.22163988125703757,0.5219265022008395,alpha_frontier
adult,ada,none,marginal_cp,0.09,0.7274593669803251,0.14835704780427883,0.6739686764254273,alpha_frontier
adult,ada,none,marginal_cp,0.11,0.6671941830624466,0.09886375268707134,0.8231855870611117,alpha_frontier
adult,ada,none,marginal_cp,0.13,0.5949529512403764,0.04600266148019245,1.0003992220288667,alpha_frontier
adult,ada,none,marginal_cp,0.15000000000000002,0.5489734816082121,0.012979834169311085,1.1096836933155902,alpha_frontier
adult,ada,none,marginal_cp,0.17,0.5031223267750213,0.03871430033780325,1.0184256321015457,alpha_frontier
adult,ada,none,marginal_cp,0.19,0.4807955517536356,0.05443750639778892,0.9877674275770293,alpha_frontier
adult,ada,none,marginal_cp,0.21000000000000002,0.4654833190761335,0.09975432490531272,0.832214146790869,alpha_frontier
adult,ada,none,marginal_cp,0.23,0.44572284003421725,0.13325826594329,0.7158153342204934,alpha_frontier
