model,probability_calibration,method,marginal_coverage_mean,coverage_class_1_mean,average_set_size_mean,abstention_rate_mean,mean_cost_mean,cost_rank,minority_coverage_rank
ada,isotonic,aps_cp,0.9020036774511847,0.6150682307690948,1.0803187369611087,0.19481035581888706,0.34348698280126577,4.4,4.266666666666667
ada,isotonic,capacity_limited_mondrian,0.9043818538959457,0.7235676439508284,1.0698243861446275,0.0803113047959724,0.41629699178379176,4.8,4.1
ada,isotonic,class_conditional_rejector,0.956535620523002,0.5037103793532568,1.126986378723475,0.12698637872347518,0.4020772485418987,4.266666666666667,4.233333333333333
ada,isotonic,class_weighted_threshold,0.7819119346057805,0.8118863087729297,1.0,0.0,0.33726387775339745,5.0,4.7
ada,isotonic,confidence_rejector,0.9952423315285865,0.9489551320805987,1.6458785182586437,0.6458785182586436,0.03281188616723071,4.666666666666667,4.733333333333333
ada,isotonic,cost_controlled_mondrian,0.9936963315787994,0.9757919416836712,1.7364331103979114,0.7364331103979114,0.023486482450399825,4.533333333333333,4.566666666666666
ada,isotonic,cost_tuned_threshold,0.7829894214659278,0.8039395853122028,1.0,0.0,0.34099836731392935,4.666666666666667,4.866666666666666
ada,isotonic,marginal_cp,0.9201259336633145,0.33731729845728,1.0414267328802604,0.10005546545065483,0.4222394749965498,4.6,4.3
ada,isotonic,mondrian_cp,0.9343559541559748,0.9358403549739683,1.4013676464650127,0.4118545651163577,0.12615598918350215,4.466666666666667,4.033333333333333
ada,isotonic,random_oversampling_threshold,0.7805999986478308,0.812511883744605,1.0,0.0,0.33560007825791316,4.933333333333334,4.833333333333333
ada,isotonic,raps_cp,0.9029777135560656,0.5358579535478836,1.0500888177277872,0.14334186189685102,0.4172785682284673,4.8,4.733333333333333
ada,isotonic,risk_controlled_rejector,0.9425621241900796,0.4790189128306476,1.0706835111031858,0.07068351110318562,0.4669637260501636,4.333333333333333,4.333333333333333
ada,none,aps_cp,0.9007934793314958,0.5396784758331773,1.079515776328197,0.1730959771018543,0.4253885691932542,6.333333333333333,6.033333333333333
ada,none,capacity_limited_mondrian,0.8827891729444346,0.7579013169434669,1.0523511340769658,0.08130082814025837,0.38638645535149946,4.8,4.266666666666667
ada,none,class_conditional_rejector,0.9540954745420642,0.4919054659326249,1.1160974365277962,0.11609743652779629,0.4301560164853556,4.466666666666667,4.666666666666667
ada,none,class_weighted_threshold,0.7828963238393523,0.8253070853420624,1.0,0.0,0.32966079860137953,5.0,4.466666666666667
ada,none,confidence_rejector,0.9972680558421784,0.9642092173083786,1.6754490227706966,0.6754490227706965,0.02393085112365791,4.366666666666666,4.4
ada,none,cost_controlled_mondrian,0.9846694993841896,0.955138993568673,1.566243612774315,0.5736494441037507,0.03841780450979495,3.8666666666666667,3.9
ada,none,cost_tuned_threshold,0.7881853737902332,0.809786866932053,1.0,0.0,0.33289863298357736,4.8,4.666666666666667
ada,none,marginal_cp,0.9046594702701217,0.26321283312091626,1.013860204475528,0.10399538113545526,0.4245084232853713,4.466666666666667,4.2
ada,none,mondrian_cp,0.9043828595036754,0.9065624771378374,1.2622787882098903,0.2913877044797489,0.17115347872626005,4.533333333333333,3.9
ada,none,random_oversampling_threshold,0.7882871522582862,0.8270263522811002,1.0,0.0,0.32408118027503696,4.6,4.5
ada,none,raps_cp,0.9007566196325368,0.4855959680130242,1.0548088845246903,0.13737790626708601,0.4666030629659578,5.866666666666666,5.8
ada,none,risk_controlled_rejector,0.9408949446592106,0.471354410321211,1.060740934202164,0.06074093420216398,0.4878472077316468,4.133333333333334,4.466666666666667
ada,sigmoid,aps_cp,0.9005117216688631,0.2989228480645856,1.0702837378490981,0.16258021516602456,0.506713547308949,6.033333333333333,5.866666666666666
ada,sigmoid,capacity_limited_mondrian,0.882575963834612,0.7450701630164379,1.0493678076125499,0.07977558152266687,0.3976015997583158,4.733333333333333,4.533333333333333
ada,sigmoid,class_conditional_rejector,0.9467931864956862,0.24616227801281065,1.1112207548252113,0.11122075482521124,0.5166720062897342,4.766666666666667,4.766666666666667
ada,sigmoid,class_weighted_threshold,0.7838327664777452,0.8211877866010632,1.0,0.0,0.32955427724718084,4.5,4.266666666666667
ada,sigmoid,confidence_rejector,0.998567909807261,0.9805259862117525,1.788740141325922,0.7887401413259222,0.014318595388351748,5.1,5.133333333333334
ada,sigmoid,cost_controlled_mondrian,0.9861988753234198,0.9521200171216065,1.5698085705873075,0.5746305446006245,0.04233774691159128,3.7666666666666666,3.7
ada,sigmoid,cost_tuned_threshold,0.7810658427587343,0.8152257692441036,1.0,0.0,0.33150854523886397,4.533333333333333,3.9
ada,sigmoid,marginal_cp,0.9038845742309359,0.2064684280140412,1.012469913340463,0.10616958302961596,0.45407671228063146,4.133333333333334,3.933333333333333
ada,sigmoid,mondrian_cp,0.9049307465879515,0.8992541596706122,1.2612900801902884,0.2921923353366084,0.17158136604390575,4.466666666666667,4.7
ada,sigmoid,random_oversampling_threshold,0.7846883833812904,0.8302361922656138,1.0,0.0,0.32692420962506025,4.4,4.266666666666667
ada,sigmoid,raps_cp,0.9006724089060468,0.24144076691501254,1.054140660454101,0.13326867255535407,0.5616537177047897,5.6,5.833333333333333
ada,sigmoid,risk_controlled_rejector,0.9361093911087681,0.21329467363440893,1.0606688835943698,0.06066888359436977,0.5988457357305683,4.833333333333333,4.833333333333333
et,isotonic,aps_cp,0.9001895386955721,0.6494930702924882,1.0704483782095706,0.19343742168872355,0.31040060876396386,2.4,2.3
et,isotonic,capacity_limited_mondrian,0.9078121341765353,0.749399996439226,1.065416136330937,0.08216740295400585,0.3621695290653887,2.8,3.2333333333333334
et,isotonic,class_conditional_rejector,0.9586920041947191,0.5575501072452089,1.116669129388914,0.11666912938891391,0.37166274043263153,3.1333333333333333,3.1666666666666665
et,isotonic,class_weighted_threshold,0.8026643555804107,0.8130056534109241,1.0,0.0,0.3182120674833197,2.8,3.2666666666666666
et,isotonic,confidence_rejector,0.9951615282569427,0.9585493340994583,1.6816869861959747,0.6816869861959748,0.031222601878795917,4.533333333333333,4.333333333333333
et,isotonic,cost_controlled_mondrian,0.9916306361235236,0.9793035727910071,1.7258890608476447,0.7286686970994722,0.020224809883744078,4.366666666666666,4.0
et,isotonic,cost_tuned_threshold,0.8043086457927555,0.8227613632737895,1.0,0.0,0.3092992314081298,2.533333333333333,3.2666666666666666
et,isotonic,marginal_cp,0.9215185765954561,0.4038912118550245,1.0354721590860967,0.1028430934671108,0.3703305015402981,2.6,2.6333333333333333
et,isotonic,mondrian_cp,0.9345143892068959,0.9358071358302316,1.4009441255363144,0.4176953921593835,0.11464697876178337,3.8666666666666667,4.666666666666667
et,isotonic,random_oversampling_threshold,0.7940251148930169,0.815181155414132,1.0,0.0,0.3202531395061198,3.0,3.0
et,isotonic,raps_cp,0.9009372639540939,0.5778526628237028,1.0408803685489045,0.14334606079759407,0.3814188666452975,2.4,2.2333333333333334
et,isotonic,risk_controlled_rejector,0.9461286476933914,0.5353626702690459,1.0692545033119478,0.06925450331194778,0.4272159904114695,2.6666666666666665,2.6333333333333333
et,none,aps_cp,0.9008640372291432,0.6299399819917023,1.0748089324685821,0.1972898787352835,0.34352736751604546,4.133333333333334,3.8
et,none,capacity_limited_mondrian,0.8839212573362362,0.7788990397564124,1.0410856938608286,0.08448176750239433,0.34699434917888683,3.2666666666666666,3.9
et,none,class_conditional_rejector,0.9499863450557108,0.4310121167215266,1.0918278527324712,0.09182785273247117,0.4699051899882984,5.333333333333333,5.566666666666666
et,none,class_weighted_threshold,0.8025435147625196,0.8356651545830329,1.0,0.0,0.309823764334172,3.0,3.433333333333333
et,none,confidence_rejector,0.9978313034840427,0.9680209654262131,1.6258869049330076,0.6258869049330077,0.021673125925343893,4.733333333333333,4.966666666666667
et,none,cost_controlled_mondrian,0.9839901400538562,0.9591470205514916,1.54721799763166,0.5558101111780791,0.03762404907379048,4.466666666666667,4.533333333333333
et,none,cost_tuned_threshold,0.8007469133952471,0.8403927430003164,1.0,0.0,0.3028007115504671,2.466666666666667,2.6666666666666665
et,none,marginal_cp,0.9020268409201317,0.21465938740783488,0.9997599450915915,0.10423554556299788,0.4163710927219753,4.066666666666666,6.466666666666667
et,none,mondrian_cp,0.903238527626686,0.908151026128016,1.2317407403748883,0.2754311261667982,0.1523500855226673,3.8,4.6
et,none,random_oversampling_threshold,0.7988911856423915,0.8252455684201966,1.0,0.0,0.3138615650773735,3.066666666666667,3.4
et,none,raps_cp,0.9022896085486881,0.5238797106345553,1.0428769958341988,0.14228079351116926,0.4321325670405705,4.6,4.8
et,none,risk_controlled_rejector,0.9403231732905772,0.4026593611765128,1.05028197684179,0.050281976841789804,0.5407172814380644,5.666666666666667,5.9
et,sigmoid,aps_cp,0.9009605513295578,0.4660927225117703,1.0544624716904172,0.1567663950071453,0.4425849083050476,4.0,3.7
et,sigmoid,capacity_limited_mondrian,0.8835108728456511,0.7769100950033238,1.04250219630784,0.08439780481374244,0.3520867334924922,2.8,2.8
et,sigmoid,class_conditional_rejector,0.9493191079821836,0.3764854057488792,1.0949524360657572,0.09495243606575719,0.48422478744832304,4.233333333333333,4.233333333333333
et,sigmoid,class_weighted_threshold,0.8003790637671975,0.8262571899233697,1.0,0.0,0.31502702346299477,2.7333333333333334,3.1666666666666665
et,sigmoid,confidence_rejector,0.9983882672322466,0.9790428857349821,1.8019962940729475,0.8019962940729477,0.016086174734368616,5.466666666666667,5.3
et,sigmoid,cost_controlled_mondrian,0.984036267007092,0.9593129680904734,1.558859326451633,0.5666940582930866,0.03914237161338516,4.8,4.8
et,sigmoid,cost_tuned_threshold,0.8063413147260273,0.8210698909620814,1.0,0.0,0.30990672889484416,2.6,3.3666666666666667
et,sigmoid,marginal_cp,0.9010136501625721,0.2194399153412969,0.9997179538090261,0.10753808789846113,0.40381487560918894,2.7,3.8666666666666667
et,sigmoid,mondrian_cp,0.9032756561347907,0.9074930271627449,1.2343659189950922,0.2765712811898526,0.15289013215680708,3.8666666666666667,4.366666666666666
et,sigmoid,random_oversampling_threshold,0.7925168669496008,0.8302152812558568,1.0,0.0,0.31870796533277906,2.8,2.933333333333333
et,sigmoid,raps_cp,0.9012622105030128,0.3963811684283717,1.0398166675246747,0.1269870932177934,0.5023843041107415,4.266666666666667,3.8333333333333335
et,sigmoid,risk_controlled_rejector,0.9387943449782491,0.34764038243437095,1.0519768996906511,0.05197689969065105,0.5570305294688015,4.1,4.1
gb,isotonic,aps_cp,0.9013641302338443,0.6146080275334911,1.07507315391735,0.1960521432939683,0.3199514742606693,3.8666666666666667,3.7
gb,isotonic,capacity_limited_mondrian,0.9113247584017194,0.7187389979073037,1.0704360379514628,0.08267058147889329,0.372932592145214,3.2666666666666666,3.8
gb,isotonic,class_conditional_rejector,0.9577608154552684,0.5282693182721956,1.1156532464470907,0.1156532464470906,0.3811628413457942,4.0,4.0
gb,isotonic,class_weighted_threshold,0.8040968316086118,0.8071101440206213,1.0,0.0,0.31794770798775907,3.533333333333333,3.8
gb,isotonic,confidence_rejector,0.9958584891127872,0.9609366686594736,1.7085128402180347,0.7085128402180348,0.026128331324676995,3.4,3.3333333333333335
gb,isotonic,cost_controlled_mondrian,0.9913559761625753,0.9751453117189075,1.7229088542373114,0.7258725489812592,0.023337453297793777,4.8,5.133333333333334
gb,isotonic,cost_tuned_threshold,0.7873813910138272,0.7989854210008686,1.0,0.0,0.3233288508915931,3.7333333333333334,3.533333333333333
gb,isotonic,marginal_cp,0.9236058269066135,0.36355330661368135,1.037201285059426,0.0959763076057691,0.38888820098447735,4.0,3.6666666666666665
gb,isotonic,mondrian_cp,0.9382651016300957,0.9425123176450307,1.4620975801758458,0.4743321237032762,0.11612915986145193,4.4,4.2
gb,isotonic,random_oversampling_threshold,0.794189996997392,0.8193357894611086,1.0,0.0,0.31991875159481337,3.466666666666667,3.6333333333333333
gb,isotonic,raps_cp,0.9017688926101339,0.5464120898858212,1.0434848342725256,0.14529208843174832,0.38954748599478545,3.466666666666667,3.4
gb,isotonic,risk_controlled_rejector,0.9449930947066076,0.5031608655340893,1.0618471387706327,0.06184713877063263,0.44665382110305296,3.6,3.533333333333333
gb,none,aps_cp,0.9005151031836776,0.6127508925610811,1.0566979781948742,0.17698570255631016,0.3313486042618644,3.8,4.066666666666666
gb,none,capacity_limited_mondrian,0.8893925945785561,0.7554207253307563,1.0523460364940025,0.08666647052589209,0.3421751126319314,3.2,3.933333333333333
gb,none,class_conditional_rejector,0.9561548968415977,0.5349251025203134,1.0999309390427863,0.09993093904278635,0.39631606611261455,3.6666666666666665,3.933333333333333
gb,none,class_weighted_threshold,0.8012799901393267,0.8350732094495338,1.0,0.0,0.3060841188161236,3.3666666666666667,4.0
gb,none,confidence_rejector,0.9980627801908152,0.9592337621631238,1.8055466103045652,0.8055466103045653,0.018370129870126987,3.8,3.933333333333333
gb,none,cost_controlled_mondrian,0.9841634748782399,0.963726718674728,1.5825551233941946,0.5928534142686639,0.03609898258212847,3.8666666666666667,3.9
gb,none,cost_tuned_threshold,0.8017320474265307,0.8023311405174411,1.0,0.0,0.31345461344414455,3.8666666666666667,4.833333333333333
