dataset,model,probability_calibration,method,n_seeds,marginal_coverage_mean,marginal_coverage_ci_lo,marginal_coverage_ci_hi,coverage_class_0_mean,coverage_class_0_ci_lo,coverage_class_0_ci_hi,coverage_class_1_mean,coverage_class_1_ci_lo,coverage_class_1_ci_hi,average_set_size_mean,average_set_size_ci_lo,average_set_size_ci_hi,abstention_rate_mean,abstention_rate_ci_lo,abstention_rate_ci_hi,mean_cost_mean,mean_cost_ci_lo,mean_cost_ci_hi,break_even_defer_cost,case_note
credit_g,ada,isotonic,aps_cp,10,0.9065,0.8908984601899541,0.9221015398100458,0.9592857142857143,0.9425832194620859,0.9759882091093427,0.7833333333333333,0.7545240412795189,0.8121426253871478,1.542,1.481127702341523,1.602872297658477,0.5640000000000001,0.5113711713981777,0.6166288286018224,0.6539999999999999,0.5619425744439916,0.7460574255560082,0.7622890682318415,German credit; class 1 follows configured positive mapping.
credit_g,ada,isotonic,capacity_limited_mondrian,10,0.772,0.75828,0.7857200000000001,0.9057142857142857,0.8733961449536816,0.9380324264748898,0.4600000000000001,0.3811476015536577,0.5388523984463425,1.1,1.1,1.1,0.1,0.1,0.1,1.686,1.4677348364946892,1.9042651635053107,0.7622890682318415,German credit; class 1 follows configured positive mapping.
credit_g,ada,isotonic,class_conditional_rejector,10,0.9720000000000001,0.9585947207745937,0.9854052792254064,0.9949999999999999,0.9894586403593821,1.0005413596406176,0.9183333333333333,0.8733186087190611,0.9633480579476056,1.7550000000000001,1.6569673387759638,1.8530326612240364,0.755,0.6569673387759637,0.8530326612240363,0.2485,0.11405731811990988,0.3829426818800901,0.7622890682318415,German credit; class 1 follows configured positive mapping.
credit_g,ada,isotonic,class_weighted_threshold,10,0.4154999999999999,0.3325440306882955,0.4984559693117043,0.18857142857142856,0.05259273743033674,0.32455011971252035,0.945,0.8998275130168051,0.9901724869831948,1.0,1.0,1.0,0.0,0.0,0.0,0.733,0.671326579108627,0.7946734208913729,0.7622890682318415,German credit; class 1 follows configured positive mapping.
credit_g,ada,isotonic,confidence_rejector,10,0.9894999999999999,0.982733977042112,0.9962660229578879,0.9971428571428571,0.9928657864942316,1.0014199277914826,0.9716666666666667,0.9527751505095117,0.9905581828238217,1.8595,1.7960316005138515,1.9229683994861484,0.8594999999999999,0.7960316005138515,0.9229683994861484,0.08700000000000001,0.029834266674285854,0.14416573332571417,0.7622890682318415,German credit; class 1 follows configured positive mapping.
credit_g,ada,isotonic,cost_controlled_mondrian,10,0.9909999999999999,0.9841789997475117,0.9978210002524881,0.9964285714285716,0.9921261173485015,1.0007310255086417,0.9783333333333333,0.9582257093262588,0.9984409573404077,1.8984999999999999,1.82772481885105,1.9692751811489497,0.8985,0.8277248188510501,0.9692751811489498,0.0675,0.0070137168901539815,0.12798628310984603,0.7622890682318415,German credit; class 1 follows configured positive mapping.
credit_g,ada,isotonic,cost_tuned_threshold,10,0.4095,0.3332186118520528,0.48578138814794714,0.17928571428571427,0.05296722791099556,0.305604200660433,0.9466666666666667,0.9023554441102483,0.990977889223085,1.0,1.0,1.0,0.0,0.0,0.0,0.7344999999999999,0.6734657622495555,0.7955342377504444,0.7622890682318415,German credit; class 1 follows configured positive mapping.
credit_g,ada,isotonic,marginal_cp,10,0.9305000000000001,0.903983599205188,0.9570164007948122,0.9807142857142856,0.9668628517732736,0.9945657196552977,0.8133333333333332,0.7326085425200283,0.8940581241466382,1.5645000000000002,1.468808967330615,1.6601910326693854,0.5645,0.46880896733061483,0.6601910326693852,0.5735,0.33066535109027156,0.8163346489097285,0.7622890682318415,German credit; class 1 follows configured positive mapping.
credit_g,ada,isotonic,mondrian_cp,10,0.9335000000000001,0.9088783464766841,0.9581216535233161,0.9285714285714286,0.8897510444643358,0.9673918126785214,0.9450000000000001,0.9063329438078369,0.9836670561921632,1.6815000000000002,1.6060117224700126,1.7569882775299879,0.6815,0.6060117224700123,0.7569882775299877,0.215,0.10763643903901927,0.32236356096098073,0.7622890682318415,German credit; class 1 follows configured positive mapping.
credit_g,ada,isotonic,random_oversampling_threshold,10,0.41150000000000003,0.33835219195203303,0.48464780804796703,0.17785714285714285,0.05933024014443941,0.2963840455698463,0.9566666666666664,0.9182611372293833,0.9950721961039496,1.0,1.0,1.0,0.0,0.0,0.0,0.7055,0.646348071694811,0.764651928305189,0.7622890682318415,German credit; class 1 follows configured positive mapping.
credit_g,ada,isotonic,raps_cp,10,0.9165000000000001,0.9025600956483435,0.9304399043516567,0.9728571428571428,0.9631128567821595,0.982601428932126,0.7849999999999999,0.7511042338490046,0.8188957661509952,1.5445,1.4849704334898288,1.6040295665101711,0.5445,0.4849704334898288,0.6040295665101711,0.6639999999999999,0.5599291062144014,0.7680708937855985,0.7622890682318415,German credit; class 1 follows configured positive mapping.
